,Position,Track Name,Artist,Streams,URL,TrackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
144,145,Mask Off,Future,4646524,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx,0VgkVdmE4gld66l8iyGjgx,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,audio_features,spotify:track:0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,204600,4
145,146,Inside Out,Camila Cabello,4644803,https://open.spotify.com/track/5xi2SXmF3A5AIsuGXiUIZu,5xi2SXmF3A5AIsuGXiUIZu,0.737,0.6970000000000001,8,-5.31,1,0.0895,0.43,0.00038199999999999996,0.0821,0.655,94.101,audio_features,spotify:track:5xi2SXmF3A5AIsuGXiUIZu,https://api.spotify.com/v1/tracks/5xi2SXmF3A5AIsuGXiUIZu,https://api.spotify.com/v1/audio-analysis/5xi2SXmF3A5AIsuGXiUIZu,182560,4
146,147,Without You (feat. Sandro Cavazza),Avicii,4634676,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE,6WbADFqMvR8N5u0BvtsWQE,0.652,0.855,2,-4.832,1,0.0441,0.00179,0.0,0.0404,0.27899999999999997,134.009,audio_features,spotify:track:6WbADFqMvR8N5u0BvtsWQE,https://api.spotify.com/v1/tracks/6WbADFqMvR8N5u0BvtsWQE,https://api.spotify.com/v1/audio-analysis/6WbADFqMvR8N5u0BvtsWQE,181673,4
147,148,Una Lady Como Tú,Manuel Turizo,4633683,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,7MHN1aCFtLXjownGhvEQlF,0.7879999999999999,0.47700000000000004,4,-7.348,1,0.0434,0.5489999999999999,0.0,0.349,0.86,94.98299999999999,audio_features,spotify:track:7MHN1aCFtLXjownGhvEQlF,https://api.spotify.com/v1/tracks/7MHN1aCFtLXjownGhvEQlF,https://api.spotify.com/v1/audio-analysis/7MHN1aCFtLXjownGhvEQlF,213027,4
148,149,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,4633160,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6,7F9vK8hNFMml4GtHsaXui6,0.6829999999999999,0.53,5,-4.918,0,0.142,0.207,0.0,0.39399999999999996,0.645,75.016,audio_features,spotify:track:7F9vK8hNFMml4GtHsaXui6,https://api.spotify.com/v1/tracks/7F9vK8hNFMml4GtHsaXui6,https://api.spotify.com/v1/audio-analysis/7F9vK8hNFMml4GtHsaXui6,190428,4
149,150,Despacito (Featuring Daddy Yankee),Luis Fonsi,4610849,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,4aWmUDTfIPGksMNLV2rQP2,0.66,0.7859999999999999,2,-4.757,1,0.17,0.209,0.0,0.11199999999999999,0.846,177.833,audio_features,spotify:track:4aWmUDTfIPGksMNLV2rQP2,https://api.spotify.com/v1/tracks/4aWmUDTfIPGksMNLV2rQP2,https://api.spotify.com/v1/audio-analysis/4aWmUDTfIPGksMNLV2rQP2,228200,4
150,151,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,4553922,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,6kex4EBAj0WHXDKZMEJaaF,0.696,0.8170000000000001,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,audio_features,spotify:track:6kex4EBAj0WHXDKZMEJaaF,https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF,https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF,216409,4
151,152,Come Alive,Hugh Jackman,4536557,https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g,5xNUR50KxswPRAvx7S163g,0.7020000000000001,0.77,7,-9.411,1,0.128,0.00558,0.000802,0.21100000000000002,0.235,118.03399999999999,audio_features,spotify:track:5xNUR50KxswPRAvx7S163g,https://api.spotify.com/v1/tracks/5xNUR50KxswPRAvx7S163g,https://api.spotify.com/v1/audio-analysis/5xNUR50KxswPRAvx7S163g,225933,4
152,153,Déjate Llevar,Juan Magán,4520818,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6,3xWEI23MLJrD0dpDcDUTW6,0.675,0.7240000000000001,7,-5.502999999999999,1,0.0787,0.0166,0.0,0.6970000000000001,0.506,92.051,audio_features,spotify:track:3xWEI23MLJrD0dpDcDUTW6,https://api.spotify.com/v1/tracks/3xWEI23MLJrD0dpDcDUTW6,https://api.spotify.com/v1/audio-analysis/3xWEI23MLJrD0dpDcDUTW6,233072,4
153,154,From Now On,Hugh Jackman,4505855,https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO,3IkWmgGsXbsafrunwPojXO,0.516,0.518,4,-10.383,1,0.04,0.00483,0.00895,0.585,0.0834,108.027,audio_features,spotify:track:3IkWmgGsXbsafrunwPojXO,https://api.spotify.com/v1/tracks/3IkWmgGsXbsafrunwPojXO,https://api.spotify.com/v1/audio-analysis/3IkWmgGsXbsafrunwPojXO,349560,4
154,155,Issues,Julia Michaels,4505291,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0,7vu0JkJh0ldukEYbTVcqd0,0.725,0.42,8,-6.811,1,0.0811,0.42700000000000005,0.0,0.061,0.424,113.975,audio_features,spotify:track:7vu0JkJh0ldukEYbTVcqd0,https://api.spotify.com/v1/tracks/7vu0JkJh0ldukEYbTVcqd0,https://api.spotify.com/v1/audio-analysis/7vu0JkJh0ldukEYbTVcqd0,176320,4
155,156,White Iverson,Post Malone,4414589,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w,6eT7xZZlB2mwyzJ2sUKG6w,0.674,0.568,7,-7.678,1,0.0349,0.21600000000000003,0.0,0.0863,0.321,130.08100000000002,audio_features,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,https://api.spotify.com/v1/tracks/6eT7xZZlB2mwyzJ2sUKG6w,https://api.spotify.com/v1/audio-analysis/6eT7xZZlB2mwyzJ2sUKG6w,256533,4
156,157,One Dance,Drake,4406393,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1xznGGDReH1oQq0xzbwXa3,0.7909999999999999,0.619,1,-5.886,1,0.0532,0.00784,0.004229999999999999,0.35100000000000003,0.371,103.98899999999999,audio_features,spotify:track:1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/tracks/1xznGGDReH1oQq0xzbwXa3,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3,173987,4
157,158,Slippery (feat. Gucci Mane),Migos,4380716,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE,6p8NuHm8uCGnn2Dtbtf7zE,0.92,0.674,1,-5.662000000000001,0,0.264,0.307,0.0,0.10400000000000001,0.741,141.967,audio_features,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,https://api.spotify.com/v1/audio-analysis/6p8NuHm8uCGnn2Dtbtf7zE,304041,4
158,159,Ghostface Killers,21 Savage,4377336,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub,5u6vkDnOyaf8LsteDAj2ub,0.782,0.436,2,-7.0329999999999995,1,0.155,0.331,1.3000000000000001e-05,0.342,0.243,82.994,audio_features,spotify:track:5u6vkDnOyaf8LsteDAj2ub,https://api.spotify.com/v1/tracks/5u6vkDnOyaf8LsteDAj2ub,https://api.spotify.com/v1/audio-analysis/5u6vkDnOyaf8LsteDAj2ub,268933,4
159,160,Too Much To Ask,Niall Horan,4306168,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK,4v094LQ9eF10k2O2Te2ngK,0.519,0.5539999999999999,0,-6.412000000000001,1,0.0385,0.381,0.0,0.115,0.19399999999999998,153.67600000000002,audio_features,spotify:track:4v094LQ9eF10k2O2Te2ngK,https://api.spotify.com/v1/tracks/4v094LQ9eF10k2O2Te2ngK,https://api.spotify.com/v1/audio-analysis/4v094LQ9eF10k2O2Te2ngK,223044,4
160,161,Starboy,The Weeknd,4302372,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,5aAx2yezTd8zXrkmtKl66Z,0.6809999999999999,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,audio_features,spotify:track:5aAx2yezTd8zXrkmtKl66Z,https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z,https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z,230453,4
161,162,Happier,Ed Sheeran,4283521,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.23600000000000002,89.792,audio_features,spotify:track:2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/tracks/2RttW7RAu5nOAfq6YFvApB,https://api.spotify.com/v1/audio-analysis/2RttW7RAu5nOAfq6YFvApB,207520,4
162,163,Stay,Zedd,4275036,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo,0I20rLT2MJDhcF96AjbNYo,0.6709999999999999,0.628,5,-5.0489999999999995,0,0.0759,0.221,0.0,0.114,0.537,102.037,audio_features,spotify:track:0I20rLT2MJDhcF96AjbNYo,https://api.spotify.com/v1/tracks/0I20rLT2MJDhcF96AjbNYo,https://api.spotify.com/v1/audio-analysis/0I20rLT2MJDhcF96AjbNYo,210400,4
163,164,Ahora Dice,Chris Jeday,4221563,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,22eADXu8DfOAUEDw4vU8qy,0.708,0.693,6,-5.516,1,0.138,0.24600000000000002,0.0,0.129,0.42700000000000005,143.965,audio_features,spotify:track:22eADXu8DfOAUEDw4vU8qy,https://api.spotify.com/v1/tracks/22eADXu8DfOAUEDw4vU8qy,https://api.spotify.com/v1/audio-analysis/22eADXu8DfOAUEDw4vU8qy,271080,4
164,165,DNA.,Kendrick Lamar,4202705,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj,6HZILIRieu8S0iqY8kIKhj,0.637,0.514,1,-6.763,1,0.365,0.0047,0.0,0.094,0.402,139.931,audio_features,spotify:track:6HZILIRieu8S0iqY8kIKhj,https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj,https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj,185947,4
165,166,La Modelo,Lean Trap,4193036,https://open.spotify.com/track/76DNqvSyzL9VCkhlnByqLf,76DNqvSyzL9VCkhlnByqLf,0.8220000000000001,0.743,1,-2.1519999999999997,1,0.0449,0.23600000000000002,0.0346,0.124,0.7440000000000001,98.04899999999999,audio_features,spotify:track:76DNqvSyzL9VCkhlnByqLf,https://api.spotify.com/v1/tracks/76DNqvSyzL9VCkhlnByqLf,https://api.spotify.com/v1/audio-analysis/76DNqvSyzL9VCkhlnByqLf,248036,4
166,167,Dirty Sexy Money (feat. Charli XCX & French Montana),David Guetta,4186165,https://open.spotify.com/track/0tPQPaOKM32WgMSbPCYyRH,0tPQPaOKM32WgMSbPCYyRH,0.721,0.873,1,-4.7410000000000005,1,0.11900000000000001,0.0789,0.0,0.0824,0.552,79.943,audio_features,spotify:track:0tPQPaOKM32WgMSbPCYyRH,https://api.spotify.com/v1/tracks/0tPQPaOKM32WgMSbPCYyRH,https://api.spotify.com/v1/audio-analysis/0tPQPaOKM32WgMSbPCYyRH,172687,4
167,168,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,4175659,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,1NDxZ7cFAo481dtYWdrUnR,0.703,0.868,7,-4.6610000000000005,0,0.0291,0.15,0.132,0.10400000000000001,0.733,121.03,audio_features,spotify:track:1NDxZ7cFAo481dtYWdrUnR,https://api.spotify.com/v1/tracks/1NDxZ7cFAo481dtYWdrUnR,https://api.spotify.com/v1/audio-analysis/1NDxZ7cFAo481dtYWdrUnR,193613,4
168,169,Redbone,Childish Gambino,4174522,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,3kxfsdsCpFgN412fpnW85Y,0.743,0.359,1,-10.401,1,0.0794,0.19899999999999998,0.00611,0.13699999999999998,0.5870000000000001,160.083,audio_features,spotify:track:3kxfsdsCpFgN412fpnW85Y,https://api.spotify.com/v1/tracks/3kxfsdsCpFgN412fpnW85Y,https://api.spotify.com/v1/audio-analysis/3kxfsdsCpFgN412fpnW85Y,326933,4
